mse,psnr,ssim,lpips,huber_delta
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,2.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,3.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,4.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,2.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,3.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,4.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,2.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,3.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,5.00E-01
4.35E-02,1.36E+01,5.18E-01,5.17E-01,1.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,5.00E-01
4.35E-02,1.36E+01,5.18E-01,5.17E-01,1.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,5.00E-01
4.35E-02,1.36E+01,5.18E-01,5.17E-01,1.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,5.00E-01
4.35E-02,1.36E+01,5.18E-01,5.17E-01,1.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,2.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,3.50E+00
4.35E-02,1.36E+01,5.18E-01,5.17E-01,4.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,5.00E-01
3.93E-02,1.41E+01,4.70E-01,6.56E-01,1.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,5.00E-01
3.93E-02,1.41E+01,4.70E-01,6.56E-01,1.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,5.00E-01
3.93E-02,1.41E+01,4.70E-01,6.56E-01,1.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,5.00E-01
3.93E-02,1.41E+01,4.70E-01,6.56E-01,1.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,2.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,3.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,4.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,2.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,3.50E+00
3.93E-02,1.41E+01,4.70E-01,6.56E-01,4.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,2.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,3.50E+00
3.92E-02,1.41E+01,4.70E-01,6.57E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,5.00E-01
4.70E-02,1.33E+01,6.35E-01,6.25E-01,1.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,5.00E-01
4.70E-02,1.33E+01,6.35E-01,6.25E-01,1.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,5.00E-01
4.70E-02,1.33E+01,6.35E-01,6.25E-01,1.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,5.00E-01
4.70E-02,1.33E+01,6.35E-01,6.25E-01,1.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,2.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,3.50E+00
4.70E-02,1.33E+01,6.35E-01,6.25E-01,4.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,5.00E-01
2.98E-02,1.53E+01,5.01E-01,6.68E-01,1.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,5.00E-01
2.98E-02,1.53E+01,5.01E-01,6.68E-01,1.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,5.00E-01
2.98E-02,1.53E+01,5.01E-01,6.68E-01,1.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,5.00E-01
2.98E-02,1.53E+01,5.01E-01,6.68E-01,1.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.98E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,2.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,3.50E+00
2.97E-02,1.53E+01,5.01E-01,6.68E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,5.00E-01
6.37E-02,1.20E+01,4.71E-01,5.46E-01,1.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,5.00E-01
6.37E-02,1.20E+01,4.71E-01,5.46E-01,1.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,5.00E-01
6.37E-02,1.20E+01,4.71E-01,5.46E-01,1.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,5.00E-01
6.37E-02,1.20E+01,4.71E-01,5.46E-01,1.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,2.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,3.50E+00
6.37E-02,1.20E+01,4.71E-01,5.46E-01,4.50E+00